Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,AVERGE VIEW
1,5,Zee TV,82757,18752951,20869786591,252181.52652947788
2,5,T-Series,12661,61196302,47548839843,3755535.885238133
3,5,Cocomelon - Nursery Rhymes,373,19238251,9793305082,26255509.60321716
4,5,SET India,27323,31180559,22675948293,829921.6152325879
5,5,WWE,36756,32852346,26273668433,714813.0491076286
6,5,Movieclips,30243,17149705,16618094724,549485.6569784743
7,5,netd müzik,8500,11373567,23898730764,2811615.384
8,5,ABS-CBN Entertainment,100147,12149206,17202609850,171773.59132075848
9,5,Ryan ToysReview,1140,16082927,24518098041,21507103.544736844
10,5,Zee Marathi,74607,2841811,2591830307,34739.77384159663
11,4,5-Minute Crafts,2085,33492951,8587520379,4118714.8100719424
12,4,Canal KondZilla,822,39409726,19291034467,23468411.76034063
13,4,Like Nastya Vlog,150,7662886,2540099931,16933999.54
14,4,Ozuna,50,18824912,8727783225,174555664.5
15,4,Wave Music,16119,15899764,10989179147,681753.1575780135
16,4,Ch3Thailand,49239,11569723,9388600275,190674.06476573448
17,4,WORLDSTARHIPHOP,4778,15830098,11102158475,2323599.513394726
19,4,Badabun,3060,23603062,5860444053,1915177.7950980393
20,4,WorkpointOfficial,24287,17687229,14022189654,577353.7140857249
21,4,xxxtentacion,48,11593509,2029279311,42276652.3125
22,4,Zee Music Company,3403,23440427,11666909155,3428418.793711431
23,4,SAB TV,19358,11347420,9572788450,494513.2994110962
24,4,DeadloxMC,1833,2137907,245437560,133899.37806873978
25,4,ETV Andhra Pradesh,186194,712562,349096736,1874.9086221897592
26,4,Shemaroo Filmi Gaane,5076,14469618,6585569190,1297393.4574468085
27,4,ibighit,277,16924523,3437613314,12410156.368231047
28,4,El Reino Infantil,555,15836366,16395683234,29541771.592792794
29,4,Zee Telugu,92250,2902714,2754482753,29858.891631436316
30,4,Kirin AMV's,230,459906,224608044,976556.7130434783
31,4,Zee Bangla,79497,3102246,2867901827,36075.59816093689
32,4,Stacy Toys,91,5992452,1576070985,17319461.373626374
33,4,Toys and Colors,127,4746069,2250065105,17717048.07086614
34,4,InfantiLandia,710,7504480,2135402141,3007608.6492957748
35,4,Top Breaking News,848,1120620,291002673,343163.52948113205
36,4,Colors TV,23504,12466776,8354699608,355458.62865895167
37,4,Goldmines Telefilms,206,14011180,555853544,2698318.174757282
38,4,one31,47805,10878372,7614312491,159278.57945821568
39,4,[토이푸딩] ToyPudding TV,2201,18777612,11920370065,5415888.262153567
40,4,CKN Toys,431,8816598,7498069721,17396913.505800463
41,4,GMA Network,65757,6270681,7373478009,112132.214197728
42,4,Zé Neto e Cristiano,102,6154173,3232954352,31695630.901960783
43,4,Inside Edition,14643,4391875,5542203386,378488.245987844
44,4,GRAMMY GOLD OFFICIAL,2943,7385239,6480263464,2201924.384641522
45,4,RedeTV,15672,5604245,3317197927,211663.98206993364
46,4,Bouncing Baby TV,30,2869857,493923518,16464117.266666668
47,4,Speed Records,5704,14903053,7823927253,1371656.2505259467
48,4,GR6 EXPLODE,2517,16813027,7609346952,3023181.148986889
49,4,Sony Music India,2204,15862389,6738087055,3057208.2826678767
50,4,Infobells - Hindi,169,7546139,3919961629,23195039.22485207
51,4,T-Series Apna Punjab,3437,10055513,5384101851,1566512.031131801
52,3,T-Series Bhakti Sagar,19447,10796918,4220899885,217046.32514012445
53,3,Tips Official,2321,10384600,4589770470,1977496.9711331322
54,3,Ultra Bollywood,10714,10490425,6239740374,582391.2986746313
55,3,La Granja de Zenón,149,8781935,4473966039,30026617.711409397
56,3,✿ Kids Diana Show,488,8983362,2492724832,5108042.68852459
57,3,Boram Tube ToysReview [보람튜브…,136,3052780,849887197,6249170.56617647
58,3,CVS 3D Rhymes,317,14925769,9454820754,29825932.97791798
59,3,Maroon5VEVO,111,15720338,10355362290,93291552.16216215
60,3,الرماس ميوزك,1905,8368289,5172463467,2715203.919685039
61,3,Pencilmation,348,5283050,2499031601,7181125.290229885
62,3,1theK (원더케이),12942,12918410,10657097331,823450.5741770979
63,3,Pinkfong! Kids' Songs & Stories,1010,10538694,5761524025,5704479.232673267
64,3,Ed Sheeran,122,33961184,14521211040,119026320.0
65,3,SonyMusicIndiaVEVO,2958,13215636,6215499269,2101250.598039216
66,3,Blossom,137,5375332,1251331678,9133807.868613139
67,3,POPS Kids,3751,5621106,4908451376,1308571.4145561184
68,3,Shemaroo,6466,10846501,4795061785,741580.8513764306
69,3,Gaane Sune Ansune,1778,9177850,4124067978,2319498.300337458
70,3,Bolly HD 1080p,250,3832164,1427683110,5710732.44
71,3,Vijay Television,19471,6456081,3686308830,189323.03579682604
72,3,DokuzSekiz Müzik,2253,1971613,2559979914,1136253.845539281
73,3,FGTeeV,1169,7910214,8437768629,7217937.23609923
74,3,Erlania e Valentina,543,8900406,2058205665,3790434.005524862
75,3,Маша и Медведь,568,16638993,16519985673,29084481.818661973
76,3,Doggy Doggy Play Doh Cartoons,909,9994112,3155585139,3471490.801980198
77,3,Asianet,31201,3310120,2450108456,78526.6003012724
78,3,Eros Now,9852,13820875,8651382337,878134.6261672757
79,3,ChuChu TV Nursery Rhymes & Kids…,254,19641153,15212759916,59892755.57480315
80,3,Oyuncak Avı,393,3286612,1045924447,2661385.361323155
81,3,Cauê Moura,487,5184068,518924050,1065552.4640657085
82,3,Get Movies,2747,20186240,17362242300,6320437.677466327
83,3,SMTOWN,3274,15711312,11614803892,3547588.2382406844
84,3,Felipe Neto,1276,25069826,4455604361,3491852.947492163
85,3,Galinha Pintadinha,47,13312085,9570884138,203635832.72340426
86,3,YRF,3564,13419831,7280286813,2042729.1843434344
87,3,Dehati India NonVeg Masti,612,4546683,1950903340,3187750.5555555555
88,3,キッズライン♡Kids Line,2712,6421915,5406199624,1993436.4395280236
89,3,LooLoo Kids - Nursery Rhymes and…,481,10813220,4362878210,9070432.869022869
90,3,Zaz Official,50,649081,242240716,4844814.32
91,3,LazarBeam,959,4791790,1080083584,1126260.2544316996
92,3,Aditya Music,14744,5940275,3871453495,262578.23487520346
93,3,hairong zheng,492,394,254252482,516773.337398374
94,3,BRIGHT SIDE,1547,16616187,3132608077,2024956.7401422106
95,3,Tekashi 6ix9ine,3,3108447,353018727,117672909.0
96,3,Luccas Neto,487,18703101,3564747380,7319809.8151950715
97,3,NollywoodStreams,1528,2794475,1171653272,766788.7905759162
98,3,MGR PRODUCTION,2069,733903,401477421,194044.186080232
99,3,BeckyGVEVO,53,6658776,3518844458,66393291.66037736
100,3,GMM GRAMMY OFFICIAL,5980,13426454,13503732638,2258149.2705685617
101,3,LetsGoMartin - Nursery Rhymes,215,3665615,934322434,4345685.739534884
102,3,HTV2 Channel,5868,3798574,2073246834,353314.0480572597
103,3,Drake - Topic,979,1259842,888928894,907996.8273748723
104,3,And TV,25709,2963630,2474453105,96248.5162783461
105,3,Soft Box Türkiye,1487,1810809,1068359427,718466.3261600538
106,3,mmoshaya,716,6832523,3881188263,5420653.998603352
107,3,Rajshri,5608,8808619,4772954260,851097.407275321
108,3,Venus,4138,7878536,2898110156,700364.9482841953
110,3,Bollywood Classics,1698,5532599,2608650285,1536307.5883392226
111,3,Давай поиграем в…,220,3409426,1101115153,5005068.877272727
112,3,Webs & Tiaras - Toy Monster…,62,7203358,6727576995,108509306.37096775
113,3,ImagineDragonsVEVO,94,10753521,5191219894,55225743.55319149
114,3,Wave Music - Bhojpuri,14307,6133550,3379150048,236188.58237226531
115,3,CookieSwirlC,2874,9213304,9298343650,3235331.819763396
117,3,قناة طيور الجنة |…,2218,9174889,8504219475,3834183.712804328
118,3,Vidol TV,357,595068,338703141,948748.2941176471
119,3,SIS vs BRO,253,6579270,2260525646,8934883.976284586
120,3,BLACKPINK,179,11604439,2947790223,16468101.804469274
121,3,BillionSurpriseToys - Nursery…,223,16271451,5183283439,23243423.49327354
122,3,shakiraVEVO,142,19689891,14533614800,102349400.0
123,3,Super Simple Songs - Kids Songs,445,11419859,10528195079,23658865.346067417
124,3,Fischer's-フィッシャーズ-,1626,5015503,5418686430,3332525.4797047973
125,3,Animal Family,25,5032200,735698294,29427931.76
126,3,Alan Walker,141,17225892,4666424253,33095207.468085106
127,3,TheEllenShow,9066,27765423,13403860667,1478475.696779175
128,3,Family Fun Pack,1253,7552928,10014750723,7992618.294493216
129,3,SebastianYatraVEVO,21,2851437,2034588299,96885157.09523809
130,3,For Kids Learn,66,647110,129490054,1961970.5151515151
131,3,Fozi Mozi,645,3564584,3232333195,5011369.294573643
132,3,Osman Vargas,884,3463566,3661895184,4142415.366515837
133,3,AnuelVEVO,29,1100382,651668495,22471327.413793102
134,3,Goldmines,143,4679372,341081506,2385185.356643357
135,3,Oops Zeros,514,548850,104953122,204188.953307393
136,3,Miss Katy,605,9684269,5704760485,9429356.173553718
137,3,Las Ratitas,83,5768549,1308569692,15765899.903614458
138,3,Marília Mendonça,69,9254263,5295016523,76739369.89855072
139,3,LEGO,19293,6207095,8118958980,420824.08023635513
140,3,Scopian01,801,1319834,1219988066,1523081.2309612983
141,3,Sonotek Haryanvi,6370,5873167,2130708836,334491.1830455259
142,3,DuDuPopTOY,683,4181344,2171187145,3178897.7232796485
145,3,YoungBoy Never Broke Again,186,3318535,1665788162,8955850.333333334
146,3,Rotana,5635,8539250,5738075498,1018292.0138420586
147,3,Volga Video,28663,6498020,3366976772,117467.70303178314
148,3,Trap Nation,1458,22331643,7760362155,5322607.788065843
149,3,FunFun ToyShow,447,4533982,1881201276,4208503.973154362
150,3,EminemVEVO,80,26650488,11317532576,141469157.2
151,3,Sonotek,8324,6591994,2590857091,311251.45254685247
152,3,KanalD,11237,3495070,5091658907,453115.50298122276
154,3,ZeeQ India,336,2435635,1105398427,3289876.2708333335
155,3,Nick Jr.,1817,3698840,3081781019,1696082.0137589434
156,3,eltrece,79561,4386345,4279834573,53793.12191903068
158,3,Worldwide Records Bhojpuri,1872,5264436,2669933333,1426246.438568376
159,3,Marshmello,187,19005512,3242956390,17342012.78074866
160,3,Geet MP3,144,5743286,1341490754,9315908.013888888
161,3,KiKiDo,263,2390570,1130123412,4297047.19391635
162,3,CanalKids HD,1500,4298926,1719001155,1146000.77
163,3,Toys And Little Gaby,192,4016859,859912280,4478709.791666667
164,3,Lady Diana,183,2417650,675927454,3693592.644808743
165,3,Mazhavil Manorama,28157,3021268,2625773225,93254.72262670028
166,3,etvteluguindia,61222,4560715,4163302219,68003.36838064747
167,3,Rainbow ToyTocToc,204,2503093,609961488,2990007.294117647
168,3,Ultra Music,3586,14813447,9083272850,2532981.8321249303
169,3,Boo Kids,19,574063,114287401,6015126.368421053
170,3,Boram Tube Vlog [보람튜브…,53,595409,145148497,2738650.886792453
171,3,ThaiCh8 : ช่อง 8,41034,4830567,3581877042,87290.4674660038
172,3,Baby Big Mouth,3177,9038516,10463073138,3293381.535410765
173,3,Daddy Yankee,319,16490453,5770555736,18089516.413793102
174,3,Televisa Telenovelas,14374,5195767,2964680826,206253.01419229165
175,3,Dude Perfect,185,34489432,6095981611,32951251.951351352
177,3,LuisFonsiVEVO,54,18753006,9179054584,169982492.2962963
178,3,BabyBus - Kids TV - Songs & Stories,1582,2217196,1547446077,978158.0764854614
179,3,YRF Music,1047,5555085,2810150130,2684002.034383954
180,3,1000virtudes,59,770249,170131284,2883581.084745763
182,3,Team Films Bhojpuri,14690,4481993,2147683870,146200.39959155887
183,3,ChainsmokersVEVO,123,12482234,7310645610,59436143.17073171
184,3,Strawberry Jam Toys,1101,1967981,629774385,572002.1662125341
185,3,Mnet Official,10515,4341384,3078108849,292735.0308131241
186,3,ETV Jabardasth,3256,4025243,2988842536,917949.1818181818
187,3,Ryan's Family Review,313,2578422,3058055395,9770145.031948881
188,3,ArianaGrandeVevo,81,19188513,9364195758,115607355.03703703
189,3,Cardi B,32,6199546,1706942190,53341943.4375
191,3,OLIE THE CUB,546,5045423,1451072025,2657641.0714285714
192,3,BERITA TERBARU HD,4873,140363,86550277,17761.18961625282
194,3,jbalvinVEVO,128,14086158,10274251157,80267587.1640625
195,3,Senya ToysReview,84,1610241,519942081,6189786.678571428
196,3,Sen Anlat Karadeniz,681,2512665,1221563028,1793778.308370044
197,3,Mr. Gengar,2032,1057326,767545532,377729.10039370076
199,3,WatchMojo.com,15345,18586234,11155709987,726993.1565330727
200,3,Troom Troom,644,8817758,2641942608,4102395.354037267
201,3,JesseAndMike,393,6132965,4615275531,11743703.641221374
202,3,TotoyKids,709,10731825,5320123608,7503700.434414669
203,3,Learn and Play,146,2913780,699759061,4792870.280821918
204,3,Aaj Tak,79184,9592793,2797505747,35329.179468074355
205,3,Ninja,720,17828322,1284842810,1784503.9027777778
206,3,CartoonKiDS BR,919,3742294,1269907194,1381835.9020674645
207,3,Emily Tube,484,7500762,2489237217,5143052.101239669
208,3,عائلة فيحان,603,3363912,2084734767,3457271.5870646765
209,3,Cartoon Network,6453,3571762,3374207995,522889.81791414844
211,3,KatyPerryVEVO,125,26712128,16244535352,129956282.816
212,3,BCC Trolling,3412,7468094,1724254525,505350.0952520516
213,3,DanTDM,2917,20198608,13558498013,4648096.679122386
215,3,David Dobrik,481,8886600,2964214601,6162608.318087318
216,3,東海オンエア,1083,3600345,2612633025,2412403.5318559557
217,3,AmusementForce,6479,3041069,2218545018,342420.90106497915
218,3,Funny Sofia Show,71,3611388,735430833,10358180.746478872
